"Program","Year","Geo_Level","State","State_ANSI","Commodity","ProductionInDollars","ProductionInGallons","PriceReceivedDollarsPerGallon"
"SURVEY","1992","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","3093000","94000","32.90425532"
"SURVEY","1993","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2343000","66000","35.50000000"
"SURVEY","1994","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2540000","73000","34.79452055"
"SURVEY","1995","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2413000","64000","37.70312500"
"SURVEY","1996","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","3311000","89000","37.20224719"
"SURVEY","1997","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","3055000","76000","40.19736842"
"SURVEY","1998","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2534000","70000","36.20000000"
"SURVEY","1999","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2356000","63000","37.39682540"
"SURVEY","2000","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","3048000","80000","38.10000000"
"SURVEY","2001","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2000000","50000","40.00000000"
"SURVEY","2002","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","3411000","83000","41.09638554"
"SURVEY","2003","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2580000","60000","43.00000000"
"SURVEY","2004","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2938000","83000","35.39759036"
"SURVEY","2005","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2354000","57000","41.29824561"
"SURVEY","2006","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","2810000","64000","43.90625000"
"SURVEY","2007","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","3276000","70000","46.80000000"
"SURVEY","2008","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","5111000","95000","53.80000000"
"SURVEY","2009","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","5029000","94000","53.50000000"
"SURVEY","2010","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","4820000","87000","55.40229885"
"SURVEY","2011","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","6174000","126000","49.00000000"
"SURVEY","2012","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","4935000","94000","52.50000000"
"SURVEY","2013","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","6622000","142000","46.63380282"
"SURVEY","2014","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","6474000","121000","53.50413223"
"SURVEY","2015","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","9148000","154000","59.40259740"
"SURVEY","2016","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","9329000","176000","53.00568182"
"SURVEY","2017","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","6960000","160000","43.50000000"
"SURVEY","2018","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","9144000","163000","56.09815951"
"SURVEY","2019","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","6704000","148000","45.29729730"
"SURVEY","2020","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","8023000","154000","52.09740260"
"SURVEY","2021","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","8242000","127000","64.90000000"
"SURVEY","2022","STATE","NEW HAMPSHIRE","33","MAPLE SYRUP","8039000","154000","52.20000000"
"SURVEY","1992","STATE","NEW YORK","36","MAPLE SYRUP","9360000","400000","23.40000000"
"SURVEY","1993","STATE","NEW YORK","36","MAPLE SYRUP","3366000","180000","18.70000000"
"SURVEY","1994","STATE","NEW YORK","36","MAPLE SYRUP","6150000","251000","24.50199203"
"SURVEY","1995","STATE","NEW YORK","36","MAPLE SYRUP","4888000","208000","23.50000000"
"SURVEY","1996","STATE","NEW YORK","36","MAPLE SYRUP","8747000","343000","25.50145773"
"SURVEY","1997","STATE","NEW YORK","36","MAPLE SYRUP","6752000","269000","25.10037175"
"SURVEY","1998","STATE","NEW YORK","36","MAPLE SYRUP","7062000","263000","26.85171103"
"SURVEY","1999","STATE","NEW YORK","36","MAPLE SYRUP","6061000","222000","27.30180180"
"SURVEY","2000","STATE","NEW YORK","36","MAPLE SYRUP","6931000","239000","29.00000000"
"SURVEY","2001","STATE","NEW YORK","36","MAPLE SYRUP","6490000","220000","29.50000000"
"SURVEY","2002","STATE","NEW YORK","36","MAPLE SYRUP","6838000","260000","26.30000000"
"SURVEY","2003","STATE","NEW YORK","36","MAPLE SYRUP","5628000","210000","26.80000000"
"SURVEY","2004","STATE","NEW YORK","36","MAPLE SYRUP","7191000","255000","28.20000000"
"SURVEY","2005","STATE","NEW YORK","36","MAPLE SYRUP","7037000","222000","31.69819820"
"SURVEY","2006","STATE","NEW YORK","36","MAPLE SYRUP","8020000","253000","31.69960474"
"SURVEY","2007","STATE","NEW YORK","36","MAPLE SYRUP","7638000","228000","33.50000000"
"SURVEY","2008","STATE","NEW YORK","36","MAPLE SYRUP","13907000","328000","42.39939024"
"SURVEY","2009","STATE","NEW YORK","36","MAPLE SYRUP","17823000","439000","40.59908884"
"SURVEY","2010","STATE","NEW YORK","36","MAPLE SYRUP","12293000","312000","39.40064103"
"SURVEY","2011","STATE","NEW YORK","36","MAPLE SYRUP","22052000","564000","39.09929078"
"SURVEY","2012","STATE","NEW YORK","36","MAPLE SYRUP","15660000","360000","43.50000000"
"SURVEY","2013","STATE","NEW YORK","36","MAPLE SYRUP","25026000","574000","43.59930314"
"SURVEY","2014","STATE","NEW YORK","36","MAPLE SYRUP","21676000","546000","39.69963370"
"SURVEY","2015","STATE","NEW YORK","36","MAPLE SYRUP","25242000","601000","42.00000000"
"SURVEY","2016","STATE","NEW YORK","36","MAPLE SYRUP","31320000","707000","44.29985856"
"SURVEY","2017","STATE","NEW YORK","36","MAPLE SYRUP","29640000","760000","39.00000000"
"SURVEY","2018","STATE","NEW YORK","36","MAPLE SYRUP","26114000","806000","32.39950372"
"SURVEY","2019","STATE","NEW YORK","36","MAPLE SYRUP","26404000","820000","32.20000000"
"SURVEY","2020","STATE","NEW YORK","36","MAPLE SYRUP","27658000","804000","34.40049751"
"SURVEY","2021","STATE","NEW YORK","36","MAPLE SYRUP","24457000","647000","37.80000000"
"SURVEY","2022","STATE","NEW YORK","36","MAPLE SYRUP","30563000","815000","37.50000000"
"SURVEY","1992","STATE","VERMONT","50","MAPLE SYRUP","12711000","570000","22.30000000"
"SURVEY","1993","STATE","VERMONT","50","MAPLE SYRUP","7440000","310000","24.00000000"
"SURVEY","1994","STATE","VERMONT","50","MAPLE SYRUP","10397000","435000","23.90000000"
"SURVEY","1995","STATE","VERMONT","50","MAPLE SYRUP","10147000","365000","27.80000000"
"SURVEY","1996","STATE","VERMONT","50","MAPLE SYRUP","14575000","550000","26.50000000"
"SURVEY","1997","STATE","VERMONT","50","MAPLE SYRUP","10902000","395000","27.60000000"
"SURVEY","1998","STATE","VERMONT","50","MAPLE SYRUP","10875000","375000","29.00000000"
"SURVEY","1999","STATE","VERMONT","50","MAPLE SYRUP","10730000","370000","29.00000000"
"SURVEY","2000","STATE","VERMONT","50","MAPLE SYRUP","14400000","480000","30.00000000"
"SURVEY","2001","STATE","VERMONT","50","MAPLE SYRUP","8932000","290000","30.80000000"
"SURVEY","2002","STATE","VERMONT","50","MAPLE SYRUP","13770000","510000","27.00000000"
"SURVEY","2003","STATE","VERMONT","50","MAPLE SYRUP","12788000","460000","27.80000000"
"SURVEY","2004","STATE","VERMONT","50","MAPLE SYRUP","15015000","550000","27.30000000"
"SURVEY","2005","STATE","VERMONT","50","MAPLE SYRUP","14178000","510000","27.80000000"
"SURVEY","2006","STATE","VERMONT","50","MAPLE SYRUP","19630000","650000","30.20000000"
"SURVEY","2007","STATE","VERMONT","50","MAPLE SYRUP","18624000","640000","29.10000000"
"SURVEY","2008","STATE","VERMONT","50","MAPLE SYRUP","28045000","710000","39.50000000"
"SURVEY","2009","STATE","VERMONT","50","MAPLE SYRUP","32292000","920000","35.10000000"
"SURVEY","2010","STATE","VERMONT","50","MAPLE SYRUP","31280000","920000","34.00000000"
"SURVEY","2011","STATE","VERMONT","50","MAPLE SYRUP","43050000","1230000","35.00000000"
"SURVEY","2012","STATE","VERMONT","50","MAPLE SYRUP","35465000","999000","35.50000000"
"SURVEY","2013","STATE","VERMONT","50","MAPLE SYRUP","49432000","1480000","33.40000000"
"SURVEY","2014","STATE","VERMONT","50","MAPLE SYRUP","44550000","1350000","33.00000000"
"SURVEY","2015","STATE","VERMONT","50","MAPLE SYRUP","46530000","1410000","33.00000000"
"SURVEY","2016","STATE","VERMONT","50","MAPLE SYRUP","59700000","1990000","30.00000000"
"SURVEY","2017","STATE","VERMONT","50","MAPLE SYRUP","53460000","1980000","27.00000000"
"SURVEY","2018","STATE","VERMONT","50","MAPLE SYRUP","54320000","1940000","28.00000000"
"SURVEY","2019","STATE","VERMONT","50","MAPLE SYRUP","57960000","2070000","28.00000000"
"SURVEY","2020","STATE","VERMONT","50","MAPLE SYRUP","52650000","2220000","23.71621622"
"SURVEY","2021","STATE","VERMONT","50","MAPLE SYRUP","56000000","1750000","32.00000000"
"SURVEY","2022","STATE","VERMONT","50","MAPLE SYRUP","84537000","2554000","33.10000000"
